"Language_ID","boundness","boundness_st","ISO","Informativity","informativity_st","island_endemic","L1_pop","area","min_dist11k","min_dist25k","min_distCont"
"wamb1257",0.339622641509434,0.178453741679423,"wme",0.346153846153846,0.500308353153532,FALSE,13500,64.0853778272867,0,0,0
"wand1267",0.304347826086957,-0.0723372582679421,"wad",0.368421052631579,0.774073327897807,FALSE,5000,7404.4243040334,0,0,0
"wand1278",0.296296296296296,-0.129580682028538,"mfi",0.28,-0.313022499086733,FALSE,43500,1802.81984602648,0,0,0
"wang1291",0.442307692307692,0.90850679116842,"wyb",0.530612244897959,2.76813880256576,FALSE,12,28442.10619995,0,0,0
"waor1240",0.318181818181818,0.0260173516479905,"auc",0.325581395348837,0.247379613273515,FALSE,1650,8931.93683537282,0,0,0
"wapp1239",0.28,-0.245441371719984,"wao",0.244897959183673,-0.744585808438711,FALSE,53,3256.83877873421,0,0,0
"wara1294",0.37037037037037,0.397058816568943,"tci",0.377358490566038,0.883954981568752,FALSE,700,462.311333064921,0,0,0
"wara1303",0.381818181818182,0.478448557261282,"wba",0.215686274509804,-1.10372992132852,FALSE,28100,43292.6408059536,0,0,0
"ward1246",0.442307692307692,0.90850679116842,"wrr",0.25,-0.681858583242202,FALSE,84,21115.5696472228,0,0,0
"ware1253",0.352941176470588,0.27314364042836,"wsa",0.36,0.670540391994517,FALSE,600,1404.03119083424,0,0,0
"wari1268",0.148148148148148,-1.1828596792235,"pav",0.264150943396226,-0.507879298263208,FALSE,1930,3746.84358985675,0,0,0
"warj1242",0.148148148148148,-1.1828596792235,"aml",0.42,1.40821256030546,FALSE,41900,932.596536681056,0,0,0
"waru1265",0.36,0.323329286765296,"wrm",0.288888888888889,-0.203737733411039,FALSE,310,33388.9955154397,0,0,0
"wash1253",0.4375,0.874325862172911,"was",0.32,0.178758946453892,FALSE,10,636.441554632038,0,0,0
"wawa1246",0.351851851851852,0.265398941919573,"www",0.333333333333333,0.342686094967434,FALSE,3000,474.737158000935,0,0,0
"waya1269",0.436363636363636,0.866246733501245,"way",0.307692307692308,0.0274415785952384,FALSE,850,3747.15008000401,0,0,0
